,,瘤痢锅龋,瘤痢疙,老矫,乞闭扁柯(∩),弥绊扁柯(∩),,弥绊扁柯矫阿,弥历扁柯(∩),弥历扁柯矫阿老背瞒
,,212,全玫,2002-07-18,22.7,29.3,16:00,18.1,4:48,11.2
,,212,全玫,2002-07-19,19.6,21.2,11:23,17.7,23:16,3.5
,,212,全玫,2002-07-20,21.7,27.5,16:49,17.6,5:52,9.9
,,212,全玫,2002-07-21,24,29.7,15:32,19.7,4:54,10
,,212,全玫,2002-07-22,22.4,27.2,12:03,20.2,23:15,7
,,212,全玫,2002-07-23,20.1,22.1,12:26,19.3,23:37,2.8
,,212,全玫,2002-07-24,23.2,28.7,17:03,18.3,1:26,10.4
,,212,全玫,2002-07-25,26.4,34.5,17:15,21.7,1:13,12.8
,,212,全玫,2002-07-26,24.2,29.7,12:43,19.7,6:08,10
,,212,全玫,2002-07-27,26.2,32.5,14:13,21.7,4:57,10.8
,,212,全玫,2002-07-28,26.9,35.7,15:58,19.3,5:43,16.4
,,212,全玫,2002-07-29,27.3,33.5,15:41,23,4:25,10.5
,,212,全玫,2002-07-30,26.2,31,16:22,23.2,23:46,7.8
,,212,全玫,2002-08-01,25.5,28.1,10:53,23.2,6:00,4.9
,,212,全玫,2002-08-02,25.6,30.3,14:22,23.1,3:37,7.2
,,212,全玫,2002-08-03,25.1,30.2,14:34,22,23:59,8.2
,,212,全玫,2002-08-04,23.7,27.2,15:23,20.8,3:57,6.4
,,212,全玫,2002-08-05,24.4,28.2,14:56,21.2,11:15,7
,,212,全玫,2002-08-06,20.8,24.7,0:55,19,23:32,5.7
,,212,全玫,2002-08-07,19.3,20.5,16:06,18.2,4:25,2.3
,,212,全玫,2002-08-08,22.6,28,12:55,19.2,0:00,8.8
,,212,全玫,2002-08-09,22.6,28.7,12:23,18.7,1:56,10
,,212,全玫,2002-08-10,19.4,21.7,11:08,17.7,23:33,4
,,212,全玫,2002-08-11,19.5,23.2,13:37,16.7,4:03,6.5
,,212,全玫,2002-08-12,18.8,23.5,13:00,15.8,6:29,7.7
,,212,全玫,2002-08-13,20.7,26.1,16:23,16.7,4:15,9.4
,,212,全玫,2002-08-14,21.6,25.2,11:53,19.2,4:13,6
,,212,全玫,2002-08-15,22.1,28.2,14:13,19.2,5:18,9
,,212,全玫,2002-08-16,20.5,23.3,16:20,17.8,6:08,5.5
,,212,全玫,2002-08-17,22.4,25.7,12:49,19.7,4:26,6
,,212,全玫,2002-08-18,23.4,29.6,13:54,19.8,5:16,9.8
,,212,全玫,2002-08-19,22.4,27.7,14:19,18.2,23:50,9.5
,,212,全玫,2002-08-20,20.9,28.2,13:48,13.8,5:24,14.4
,,212,全玫,2002-08-21,21.1,26.7,13:51,17.3,2:44,9.4
,,212,全玫,2002-08-22,21.4,25.7,12:09,18.8,5:47,6.9
,,212,全玫,2002-08-23,22.7,27.7,14:47,20,23:55,7.7
,,212,全玫,2002-08-24,23.7,30.6,15:54,19.5,0:41,11.1
,,212,全玫,2002-08-25,23.7,30.7,13:39,19,6:01,11.7
,,212,全玫,2002-08-26,24,30.6,14:19,20.7,5:46,9.9
,,212,全玫,2002-08-27,23.1,27.6,10:14,21.2,3:30,6.4
,,212,全玫,2002-08-28,23.8,30.2,15:59,20,5:06,10.2
,,212,全玫,2002-08-29,24.5,32,13:43,20.3,6:08,11.7
,,212,全玫,2002-08-30,23.6,27.8,13:26,20.2,4:00,7.6
,,212,全玫,2002-09-01,20,23.5,13:33,17.7,22:36,5.8
,,212,全玫,2002-09-02,23.1,29.6,14:08,17,5:52,12.6
,,212,全玫,2002-09-03,24.8,31.2,13:40,21.2,23:24,10
,,212,全玫,2002-09-04,23,29.1,13:56,19.7,3:23,9.4
,,212,全玫,2002-09-05,20.2,22.7,13:15,18.1,23:57,4.6
,,212,全玫,2002-09-06,19.2,24.5,13:40,15.1,23:52,9.4
,,212,全玫,2002-09-07,19,27.8,14:11,11.6,5:38,16.2
,,212,全玫,2002-09-08,19.1,28,15:46,11.3,5:44,16.7
,,212,全玫,2002-09-09,20.6,28.7,15:45,15.6,23:41,13.1
,,212,全玫,2002-09-10,19.6,28.7,14:31,12.8,5:49,15.9
,,212,全玫,2002-09-11,20.7,29.3,14:34,14.6,5:27,14.7
,,212,全玫,2002-09-12,16,19.3,0:05,13.8,18:21,5.5
,,212,全玫,2002-09-13,17.8,23.8,14:34,14.1,0:00,9.7
,,212,全玫,2002-09-14,18.1,23.1,14:35,15.1,5:19,8
,,212,全玫,2002-09-15,16.2,19.3,15:44,14.5,23:31,4.8
,,212,全玫,2002-09-16,15.9,20.5,13:55,11.8,23:54,8.7
,,212,全玫,2002-09-17,15.9,25.8,13:39,9.8,6:02,16
,,212,全玫,2002-09-18,15.8,26.3,15:38,7.9,6:10,18.4
,,212,全玫,2002-09-19,16.4,25.3,15:23,11.1,5:22,14.2
,,212,全玫,2002-09-20,16.6,23.7,13:18,12.6,6:15,11.1
,,212,全玫,2002-09-21,16.6,23.5,14:35,14.1,2:21,9.4
,,212,全玫,2002-09-22,15.2,22.8,13:27,11.6,6:35,11.2
,,212,全玫,2002-09-23,14.7,23.7,14:49,10.6,6:00,13.1
,,212,全玫,2002-09-24,15.1,25.1,14:20,9.3,4:56,15.8
,,212,全玫,2002-09-25,16.3,25.7,14:39,10.5,4:07,15.2
,,212,全玫,2002-09-26,16.9,26.3,15:24,12.1,3:48,14.2
,,212,全玫,2002-09-27,15.9,23.7,14:28,11.5,23:56,12.2
,,212,全玫,2002-09-28,17.1,27,15:30,9.1,6:42,17.9
,,212,全玫,2002-09-29,16.9,22.2,12:27,13.8,6:49,8.4
,,212,全玫,2002-09-30,16.6,23.2,14:57,13.1,6:43,10.1
,,212,全玫,2002-10-01,15.9,23.2,14:48,12.8,23:38,10.4
,,212,全玫,2002-10-02,13.8,20.2,13:09,7.5,23:43,12.7
,,212,全玫,2002-10-03,11,20.2,11:38,6,3:35,14.2
,,212,全玫,2002-10-04,11.4,21.3,15:54,6.3,8:15,15
,,212,全玫,2002-10-05,11.9,17,11:52,6.8,4:39,10.2
,,212,全玫,2002-10-06,13.5,16.5,14:57,10.5,23:33,6
,,212,全玫,2002-10-07,12.1,17.7,14:58,7.3,24:00:00,10.4
,,212,全玫,2002-10-08,8.4,16.2,15:04,3.7,7:23,12.5
,,212,全玫,2002-10-09,8.8,18.2,14:42,4,6:47,14.2
,,212,全玫,2002-10-10,10.4,20.6,15:19,4.1,4:51,16.5
,,212,全玫,2002-10-11,12.5,21.7,14:17,7,4:27,14.7
,,212,全玫,2002-10-12,13.1,22.2,14:34,7.5,6:08,14.7
,,212,全玫,2002-10-13,14.3,22.8,14:47,10,6:28,12.8
,,212,全玫,2002-10-14,11.6,20.6,14:40,6.8,23:58,13.8
,,212,全玫,2002-10-15,11.8,18.2,15:20,6.6,0:02,11.6
,,212,全玫,2002-10-16,11.3,19.3,15:00,6.5,2:27,12.8
,,212,全玫,2002-10-17,12.9,23.8,15:08,6.9,6:40,16.9
,,212,全玫,2002-10-18,13.6,17.7,14:37,10,5:59,7.7
,,212,全玫,2002-10-19,13.4,17.2,13:31,11.3,21:51,5.9
,,212,全玫,2002-10-20,11.8,14.3,14:01,10,23:49,4.3
,,212,全玫,2002-10-21,9.1,13.3,14:34,3.5,23:31,9.8
,,212,全玫,2002-10-22,2.7,10.3,14:11,-1.7,23:59,12
,,212,全玫,2002-10-23,1.2,9.8,15:39,-3.7,6:30,13.5
,,212,全玫,2002-10-24,6.4,15.5,14:52,-2.5,1:22,18
,,212,全玫,2002-10-25,7.8,15.3,12:45,1.2,6:24,14.1
,,212,全玫,2002-10-26,5.9,9.8,14:40,2.5,23:45,7.3
,,212,全玫,2002-10-27,2.8,7.6,14:00,-0.6,6:24,8.2
,,212,全玫,2002-10-28,1.9,7,14:28,-1.8,7:16,8.8
,,212,全玫,2002-10-29,1.1,11.1,14:52,-5.3,6:46,16.4
,,212,全玫,2002-10-30,2.6,11.3,15:25,-5.1,6:28,16.4
,,212,全玫,2002-11-01,3.6,8.6,13:08,-1.8,24:00:00,10.4
,,212,全玫,2002-11-02,1.5,8.8,14:09,-6.4,6:40,15.2
,,212,全玫,2002-11-03,2.3,7.8,14:09,-1.7,6:04,9.5
,,212,全玫,2002-11-04,0.1,4.8,14:01,-4,24:00:00,8.8
,,212,全玫,2002-11-05,-0.8,8.8,13:57,-8.5,6:30,17.3
,,212,全玫,2002-11-06,3.5,14.6,15:16,-4.5,3:59,19.1
,,212,全玫,2002-11-07,8.4,15,15:12,2.4,6:18,12.6
,,212,全玫,2002-11-08,1.3,5.8,0:00,-3.2,23:43,9
,,212,全玫,2002-11-09,-1.2,5.5,14:08,-7.6,7:10,13.1
,,212,全玫,2002-11-10,5.2,11.3,14:59,-3,2:10,14.3
,,212,全玫,2002-11-11,12,17.3,14:29,7,0:00,10.3
,,212,全玫,2002-11-12,4.2,7.1,0:00,0.6,22:38,6.5
,,212,全玫,2002-11-13,-0.5,3.7,14:14,-5,23:22,8.7
,,212,全玫,2002-11-14,0.4,6.1,15:38,-6.9,7:02,13
,,212,全玫,2002-11-15,-2,4,13:40,-7.6,7:36,11.6
,,212,全玫,2002-11-16,-2.3,6.5,14:01,-9.3,7:19,15.8
,,212,全玫,2002-11-17,-1.5,2,16:55,-5.6,3:27,7.6
,,212,全玫,2002-11-18,-3.1,1.6,14:24,-8.5,23:59,10.1
,,212,全玫,2002-11-19,-4.2,3.2,14:48,-11.8,7:07,15
,,212,全玫,2002-11-20,1.1,3.7,11:47,-1.8,1:16,5.5
,,212,全玫,2002-11-21,-0.4,5.5,14:35,-3.5,23:50,9
,,212,全玫,2002-11-22,-0.8,10.3,14:17,-7.3,6:27,17.6
,,212,全玫,2002-11-23,0.9,13.1,14:30,-6,7:05,19.1
,,212,全玫,2002-11-24,1.7,8.6,14:52,-2.4,0:29,11
,,212,全玫,2002-11-25,-0.6,3.7,13:16,-3.5,23:27,7.2
,,212,全玫,2002-11-26,-1.6,1.7,14:24,-4.4,6:38,6.1
,,212,全玫,2002-11-27,-2.7,3.5,14:32,-7,7:16,10.5
,,212,全玫,2002-11-28,-2,5.6,14:42,-10,6:38,15.6
,,212,全玫,2002-11-29,2.6,4,15:34,1.2,0:00,2.8
,,212,全玫,2002-11-30,-0.6,6.6,14:15,-5.3,23:48,11.9
,,212,全玫,2002-12-01,-1.4,8.8,14:39,-8.5,7:13,17.3
,,212,全玫,2002-12-02,0.1,11,14:33,-5.4,7:19,16.4
,,212,全玫,2002-12-03,0.1,7,14:08,-5.8,5:23,12.8
,,212,全玫,2002-12-04,6.9,16.7,14:16,1.3,3:37,15.4
,,212,全玫,2002-12-05,6.4,10.6,13:30,2.9,23:57,7.7
,,212,全玫,2002-12-06,4.1,9.6,14:27,0.3,5:05,9.3
,,212,全玫,2002-12-07,2.5,6,14:13,0.8,2:56,5.2
,,212,全玫,2002-12-08,0.2,1.8,0:00,-0.8,7:03,2.6
,,212,全玫,2002-12-09,-6.1,-0.3,0:00,-11.1,22:43,10.8
,,212,全玫,2002-12-10,-11,-5.5,14:13,-15.3,7:15,9.8
,,212,全玫,2002-12-11,-10.5,-3,13:43,-15.8,7:17,12.8
,,212,全玫,2002-12-12,-9.3,-1.3,14:54,-14.5,3:40,13.2
,,212,全玫,2002-12-13,-9.3,0.2,14:29,-16,7:09,16.2
,,212,全玫,2002-12-14,-5.5,1.5,15:36,-14.1,7:13,15.6
,,212,全玫,2002-12-15,0.6,8.6,14:43,-4.6,7:49,13.2
,,212,全玫,2002-12-16,1.8,5,16:01,0.5,0:49,4.5
,,212,全玫,2002-12-17,0.6,4.4,13:32,-2.2,23:38,6.6
,,212,全玫,2002-12-18,0.6,6.5,14:03,-2.5,3:04,9
,,212,全玫,2002-12-19,-0.6,8,14:47,-4.5,23:57,12.5
,,212,全玫,2002-12-20,-1.6,9.1,14:37,-7.5,6:45,16.6
,,212,全玫,2002-12-21,0.3,8.8,14:41,-5.3,8:10,14.1
,,212,全玫,2002-12-22,1.6,7.8,15:08,-4.9,7:39,12.7
,,212,全玫,2002-12-23,2.1,4.8,13:12,0.4,23:27,4.4
,,212,全玫,2002-12-24,1.5,3.7,12:05,0.2,0:27,3.5
,,212,全玫,2002-12-25,-2.4,0.5,0:00,-3.9,23:47,4.4
,,212,全玫,2002-12-26,-7.3,-3.2,14:40,-11.8,23:49,8.6
,,212,全玫,2002-12-27,-9.5,-1.2,14:45,-15,7:06,13.8
,,212,全玫,2002-12-28,-5,1,14:44,-13.6,3:48,14.6
,,212,全玫,2002-12-29,-6.1,1.6,14:05,-11,8:03,12.6
,,212,全玫,2002-12-30,-7.1,1.1,14:50,-13.8,7:02,14.9
